title,subclass,description
Identifying provider prejudice in healthcare,Economic theory,"""The NBER Bulletin on Aging and Health provides summaries of publications like this.  You can sign up to receive the NBER Bulletin on Aging and Health by email.  We use simple economic insights to develop a framework for distinguishing between prejudice and statistical discrimination using observational data.  We focus our inquiry on the enormous literature in healthcare where treatment disparities by race and gender are not explained by access, preferences, or severity.  But treatment disparities, by themselves, cannot distinguish between two competing views of provider behavior.  Physicians may consciously or unconsciously withhold treatment from minority groups despite similar benefits (prejudice) or because race and gender are associated with lower benefit from treatment (statistical discrimination).  We demonstrate that these two views can only be distinguished using data on patient outcomes: for patients with the same propensity to be treated, prejudice implies a higher return from treatment for treated minorities, while statistical discrimination implies that returns are equalized.  Using data on heart attack treatments, we do not find empirical support for prejudice-based explanations.  Despite receiving less treatment, women and blacks receive slightly lower benefits from treatment, perhaps due to higher stroke risk, delays in seeking care, and providers over-treating minorities due to equity and liability concerns""--National Bureau of Economic Research web site."
Tax competition and migration the race-to-the-bottom hypothesis revisited /,Economic theory,"""The literature on tax competition with free capital mobility cites several reasons for the race-to-the-bottom hypothesis in the sense that tax competition may yield significantly lower tax rates than tax coordination.  With a fixed (exogenously given) population that can move from one fiscal jurisdiction to another, the Tiebout paradigm suggests that tax competition among these jurisdictions yields an efficient outcome, so that there are no gains from tax coordination.  The Tiebout paradigm considers the allocation of a given population among competing localities.  Our model of international tax-transfer and migration competition among host countries deviates from the Tiebout paradigm in that the total population in the host countries and its skill distribution are endogenously determined through migration of various skills.  As a result, competition needs not be efficient.  This paper suggests that when a group of host countries faces an upward supply of immigrants, tax competition does not indeed lead to a race to the bottom; competition may lead to higher taxes than coordination""--National Bureau of Economic Research web site."
Inequality at birth some causes and consequences /,Economic theory,"""The NBER Bulletin on Aging and Health provides summaries of publications like this.  You can sign up to receive the NBER Bulletin on Aging and Health by email.  Recent research shows that health at birth is affected by many factors, including maternal education, behaviors, and participation in social programs.  In turn, endowments at birth are predictive of adult outcomes, and of the outcomes of future generations.  Exposure to environmental pollution is one potential determinant of health at birth that has received increasing attention.  A large literature outside of economics advocates for ""Environmental Justice,"" and argues that poor and minority families are disproportionately exposed to environmental hazards.  I provide new evidence on this question, showing that children born to less educated and minority mothers are more likely to be exposed to pollution in utero and that white, college educated mothers are particularly responsive to changes in environmental amenities.  I estimate that differences in exposure to toxic releases may explain 6% of the gap in incidence of low birth weight between infants of white college educated mothers and infants of black high school dropout mothers""--National Bureau of Economic Research web site."
"Sex ratios, entrepreneurship, and economic growth in the People's Republic of China",Economic theory,"""China experiences an increasingly severe relative surplus of men in the pre-marital age cohort.  The existing literature on its consequences focuses mostly on negative aspects such as crime.  In this paper, we provide evidence that the imbalance may also stimulate economic growth by inducing more entrepreneurship and hard work.  First, new domestic private firms - an important engine of growth - are more likely to emerge from regions with a higher sex ratio imbalance.  Second, the likelihood for parents with a son to be entrepreneurs rises with the local sex ratio.  Third, households with a son in regions with a more skewed sex ratio demonstrate a greater willingness to accept relatively dangerous or unpleasant jobs and supply more work days.  In contrast, the labor supply pattern by households with a daughter is unrelated to the sex ratio.  Finally, regional GDP tends to grow faster in provinces with a higher sex ratio.  Since the sex ratio imbalance will become worse in the near future, this growth effect is likely to persist""--National Bureau of Economic Research web site."
New evidence on teacher labor supply,Economic theory,"""Recent evidence on the large variance in teacher effectiveness has spurred renewed interest in teacher labor market policies.  A substantial body of prior research documents that more highly qualified teachers tend to work in more advantaged schools, although this literature cannot determine the relative importance of supply versus demand factors in generating this equilibrium outcome.  To isolate the importance of teacher labor supply, we attended three large teacher job fairs in Chicago during the summer of 2006 and collected detailed information on the specific schools at which teachers interviewed.  We document a substantial variation in the number of applicants per school, with some schools having fewer than five applicants and others schools having over 300 applicants, even after controlling for the number and type of positions advertised at the school.  We show that the demographic characteristics of schools strongly predict the number of applicants to the school in the expected direction.  Interestingly, the geographic location of the school is an extremely strong predictor of applications, even after controlling for a host of observable school and neighborhood characteristics""--National Bureau of Economic Research web site."
The returns to the brain drain and brain circulation in Sub-Saharan Africa some computations using data from ghana /,Economic theory,"""We look at the decision of the government or ""central planner"" in the allocation of scarce governmental resources for tertiary education, as well as that for the individual.  We provide estimates of the net present values, or cost and benefits.  These include costs of tertiary education; the benefits of improved skills of those who remain in the country; and also takes into account the flows of the skilled out of the country (the brain drain) as well as the remittances they bring into the country.  Our results are positive for the net benefits relative to costs.  Our results suggest that (i) there may be room for creative thinking about the possibility that the brain drain could provide mechanisms for dramatic increases in education levels within African nations; and (ii) by at least one metric, spending by African nations on higher education in this period yielded positive returns on the investment.  Our results on the individual decision problem resolve a paradox in the returns to education literature which finds low returns to tertiary education""--National Bureau of Economic Research web site."
Fuel tax incidence and supply conditions,Economic theory,"""The incidence of taxes on consumers and producers plays a central role in evaluating energy tax policy, yet the literature testing the main predictions of the tax incidence model is sparse.  In this paper, we examine the pass-through rate of state gasoline and diesel taxes to retail prices, and importantly we estimate the dependence of pass-through on factors constraining the gasoline and diesel supply chains.  We consider several factors that alter the elasticity of supply, including within state heterogeneity in gasoline content requirements, refinery capacity utilization, inventory constraints, and variation in the demand for untaxed uses of diesel.  In general, we find that in periods of time when the supply chain is constrained, and the constraint is plausibly unrelated to shifts in demand, the pass-through rate of fuel taxes declines.  We describe several potential implications for tax policy, including tax breaks during peak driving season and during times of supply disruptions such as after major hurricanes""--National Bureau of Economic Research web site."
A roy model of social interactions,Economic theory,"""We develop a Roy model of social interactions in which individuals sort into peer groups based on comparative advantage.  Two key results emerge: First, when comparative advantage is the guiding principle of peer group organization, the effect of moving a student into an environment with higher-achieving peers depends on where in the ability distribution she falls and the effective wages that clear the social market.  In this sense our model may rationalize the widely varying estimates of peer effects found in the literature without casting group behavior as an externality in agents' objective functions.  Second, since a student's comparative advantage is typically unobserved, the theory implies that important determinants of individual choice operate through the error term and may, even under random assignment, be correlated with the regressor of interest.  As a result, linear in means estimates of peer effects are not identified.  We show that the model's testable prediction in the presence of this confounding issue-an individual's ordinal rank predicts her behavior, ceteris paribus-is borne out in two data sets""--National Bureau of Economic Research web site."
When a nudge isn't enough defaults and saving among low-income tax filers /,Economic theory,"""Recent evidence suggests that the default options implicit in economic choices (e.g., 401(k) savings by white-collar workers) have extraordinarily large effects on decision-making.  This study presents a field experiment that evaluates the effect of defaults on savings among a highly policy-relevant population: low-income tax filers.  In the control condition, tax filers could choose (i.e., opt in) to receive some of their federal tax refund in the form of U.S.  Savings Bonds.  In the treatment condition, a fraction of the tax refund was automatically directed to U.S.  Savings Bonds unless tax filers actively chose another allocation.  We find that the opt-out default had no impact on savings behavior.  Furthermore, our treatment estimate is sufficiently precise to reject effects as small as one-fifth of the participation effects found in the 401(k) literature.  Ancillary evidence suggests that this ""nudge"" was ineffective in part because the low-income tax filers in our study had targeted plans to spend their refunds.  These results suggest that choice architecture based on defaults may be less effective in certain policy-relevant settings, particularly where intentions are strong""--National Bureau of Economic Research web site."
Estimating turning points using large data sets,Economic theory,"""Dating business cycles entails ascertaining economy-wide turning points.  Broadly speaking, there are two approaches in the literature.  The first approach, which dates to Burns and Mitchell (1946), is to identify turning points individually in a large number of series, then to look for a common date that could be called an aggregate turning point.  The second approach, which has been the focus of more recent academic and applied work, is to look for turning points in a few, or just one, aggregate.  This paper examines these two approaches to the identification of turning points.  We provide a nonparametric definition of a turning point (an estimand) based on a population of time series.  This leads to estimators of turning points, sampling distributions, and standard errors for turning points based on a sample of series.  We consider both simple random sampling and stratified sampling.  The empirical part of the analysis is based on a data set of 270 disaggregated monthly real economic time series for the U.S., 1959-2010""--National Bureau of Economic Research web site."
The contribution of human capital to China's economic growth,Economic theory,"""This paper develops a human capital measure in the sense of Schultz (1960) and then reevaluates the contribution of human capital to China's economic growth.  The results indicate that human capital plays a much more important role in China's economic growth than available literature suggests, 38.1% of economic growth over 1978-2008, and even higher for 1999-2008.  In addition, because human capital formation accelerated following the major educational expansion increases after 1999 (college enrollment in China increased nearly fivefold between 1997 and 2007) while growth rates of GDP are little changed over the period after 1999, total factor productivity increases fall if human capital is used in growth accounting as we suggest.  TFP, by our calculations, contributes 16.92% of growth between 1978 and 2008, but this contribution is -7.03% between 1999 and 2008.  Negative TFP growth along with the high contribution of physical and human capital to economic growth seem to suggest that there have been decreased in the efficiency of inputs usage in China or worsened misallocation of physical and human capital in recent years.  These results underscore the importance of efficient use of human capital, as well as the volume of human capital creation, in China's growth strategy""--National Bureau of Economic Research web site."
"Commodity prices, commodity currencies, and global economic developments",Economic theory,"""In this paper we seek to produce forecasts of commodity price movements that can systematically improve on naive statistical benchmarks, and revisit the forecasting performance of changes in commodity currencies as efficient predictors of commodity prices, a view emphasized in the recent literature.  In addition, we consider different types of factor-augmented models that use information from a large data set containing a variety of indicators of supply and demand conditions across major developed and developing countries.  These factor-augmented models use either standard principal components or partial least squares (PLS) regression to extract dynamic factors from the data set.  Our forecasting analysis considers ten alternative indices and sub-indices of spot prices for three different commodity classes across different periods.  We find that the exchange rate-based model and especially the PLS factor-augmented model are more prone to outperform the naive statistical benchmarks.  However, across our range of commodity price indices we are not able to generate out-of-sample forecasts that, on average, are systematically more accurate than predictions based on a random walk or autoregressive specifications""--National Bureau of Economic Research web site."
A shred of credible evidence on the long run elasticity of labor supply,Economic theory,"""Virtually all public policies regarding taxation and the redistribution of income rely on explicit or implicit assumptions about the long run effect of wages rates on labor supply.  The available estimates of the wage elasticity of male labor supply in the literature have varied between -0.2 and 0.2, implying that permanent wage increases have relatively small, poorly determined effects on labor supplied.  The variation in existing estimates calls for a simple, natural experiment in which men can change their hours of work, and in which wages have been exogenously and permanently changed.  We introduce a panel data set of taxi drivers who choose their own hours, and who experienced two exogenous permanent fare increases instituted by the New York City Taxi and Limousine Commission, and we use these data to fit a simple structural labor supply function.  Our estimates suggest that the elasticity of labor supply is about -0.2, implying that income effects dominate substitution effects in the long run labor supply of males""--National Bureau of Economic Research web site."
How substitutable is natural capital ?,Finance,"""One of the recurring themes in the sustainability literature has been the legitimacy of using an economic framework to account for natural resources.  This paper examines the potential for substituting between different inputs in the generation of income, where the inputs include natural resources such as land and energy resources.  A nested constant elasticity of substitution (CES) production function is used to allow flexibility in the estimated elasticities of substitution.  Also, with this specification, natural resources and other inputs are combined in different levels of the function, thus allowing for different levels of substitutability.  Institutional and economic indicators are also incorporated in the production function estimated.  Results show that the elasticities derived from functions involving land resources were generally around one or greater, implying a fairly high degree of substitutability.  Furthermore, changes in trade openness and private sector investment have a statistically significant and direct relationship with income generation.  No statistically significant relationship between income and any of the institutional indicators was found. ""--World Bank web site."
Education and nonmarket outcomes,Economic theory,"""I explore the effects of education on nonmarket outcomes from both theoretical and empirical perspectives.  Examples of outcomes considered include general consumption patterns at a moment in time, savings and the rate of growth of consumption over time, own (adult) health and inputs into the production of own health, fertility, and child quality or well-being reflected by their health and cognitive development.  I pay a good deal of attention to the effects of education on health because they are the two most important sources of human capital: knowledge capital and health capital.  There is a large literature addressing the nature of their complementarities.  In the conceptual foundation section, I consider models in which education has productive efficiency and allocative efficiency effects.  I then modify these frameworks to allow for the endogenous nature of schooling decisions, so that observed schooling effects can be traced in part to omitted ""third variables"" such as an orientation towards the future.  An additional complication is that schooling may contribute to a future orientation.  The empirical review provides a good deal of evidence for the proposition that the education effects are causal but is less conclusive with regard to the identification of specific mechanisms""--National Bureau of Economic Research web site."
DSGE models of high exchange-rate volatility and low pass-through,Finance,"""This paper develops a quantitative, dynamic, open-economy model which endogenously generates high exchange rate volatility, whereas a low degree of pass-through stems from both nominal rigidities (in the form of local currency pricing) and price discrimination.  We model real exchange rate volatility in response to real shocks by reconsidering and extending two approaches suggested by the quantitative literature (one by Backus Kehoe and Kydland [1995], the other by Chari, Kehoe and McGrattan [2003]), within a common framework with incomplete markets and segmented domestic economies.  Our model accounts for a variable degree of ERPT over different horizons.  In the short run, we find that a very small amount of nominal rigidities--consistent with the evidence in Bils and Klenow [2004]--lowers the elasticity of import prices at border and consumer level to 27% and 13%, respectively.  Still, exchange rate depreciation worsens the terms of trade -- in accord with the evidence stressed by Obstfeld and Rogoff [2000].  In the long run, exchange-rate pass-through coefficients are also below one, as a result of price discrimination.  The latter is an implication of distribution services, which makes the goods demand elasticity market specific""--Federal Reserve Board web site."
"Roughing it up including jump components in the measurement, modeling, and forecasting of return volatility /",Economic theory,"""A rapidly growing literature has documented important improvements in financial return volatility measurement and forecasting via use of realized variation measures constructed from high-frequency returns coupled with simple modeling procedures.  Building on recent theoretical results in Barndorff-Nielsen and Shephard (2004a, 2005) for related bi-power variation measures, the present paper provides a practical and robust framework for non-parametrically measuring the jump component in asset return volatility.  In an application to the DM/$ exchange rate, the S&P500 market index, and the 30-year U.S.  Treasury bond yield, we find that jumps are both highly prevalent and distinctly less persistent than the continuous sample path variation process.  Moreover, many jumps appear directly associated with specific macroeconomic news announcements.  Separating jump from non-jump movements in a simple but sophisticated volatility forecasting model, we find that almost all of the predictability in daily, weekly, and monthly return volatilities comes from the non-jump component.  Our results thus set the stage for a number of interesting future econometric developments and important financial applications by separately modeling, forecasting, and pricing the continuous and jump components of the total return variation process""--National Bureau of Economic Research web site."
Who bears the corporate tax? a review of what we know /,Economic theory,"""This paper reviews what we know from economic theory and evidence about who bears the burden of the corporate income tax.  Among the lessons from the recent literature are: 1.  For a variety of reasons, shareholders may bear a certain portion of the corporate tax burden.  In the short run, they may be unable to shift taxes on corporate capital.  Even in the long run, they may be unable to shift taxes attributable to a discount on ""old"" capital, taxes on rents, or taxes that simply reduce the advantages of corporate ownership.  Thus, the distribution of share ownership remains empirically quite relevant to corporate tax incidence analysis, though attributing ownership is itself a challenging exercise.  2.  One-dimensional incidence analysis -- distributing the corporate tax burden over a representative cross-section of the population -- can be relatively uninformative about who bears the corporate tax burden, because it misses the element timing.  3.  It is more meaningful to analyze the incidence of corporate tax changes than of the corporate tax in its entirety, because different components of the tax have different incidence and incidence relates to the path of the economy over time, not just in a single year""--National Bureau of Economic Research web site."
A survey of securities laws and enforcement,Finance,"""Lopez-de-Silanes examines the theoretical and empirical literature pertaining to securities laws and their enforcement by regulators and courts to establish what is known and what is yet unclear.  Recent empirical research in the field has established that law matters.  Mandatory disclosure requirements, insider trading laws, safeguards against self-dealing transactions, adequate regulatory powers, and simple laws that are easily enforced aid in the development of capital markets.  The debate is now focused on identifying which components of securities laws matter most and on what the optimal regulatory framework for each country should be.  Although public enforcement of securities laws is important, the author finds that the largest impact comes from aspects of the law that facilitate private enforcement.  This means that the development of capital markets depends crucially on creating laws that facilitate enforcement and improving court procedures that allow for a more efficient dispute resolution.  This paper a product of the Global Corporate Governance Forum, Corporate Governance Department is part of a larger effort in the department to improve the understanding of corporate governance reform in developing countries""--World Bank web site."
The high-frequency effects of U.S. macroeconomic data releases on prices and trading activity in the global interdealer foreign exchange market,Finance,"""We introduce a new high-frequency foreign exchange dataset from EBS (Electronic Broking Service) that includes trading volume in the global interdealer spot market, data not previously available to researchers.  The data also gives live transactable quotes, rather than the indicative quotes that have been used in most previous high frequency foreign exchange analysis.  We describe intraday volume and volatility patterns in euro-dollar and dollar-yen trading.  We study the effects of scheduled U.S.  macroeconomic data releases, first confirming the finding of recent literature that the conditional mean of the exchange rate responds very quickly to the unexpected component of data releases.  We next study the effects of data releases on trading volumes.  News releases cause volume to rise, and to remain elevated for a longer period.  However, in contrast to the result for the level of the exchange rate, even if the data release is entirely in line with expectations, we find that there is still typically a large pickup in trading volume""--Federal Reserve Board web site."
Ramsey monetary policy and international relative prices,Finance,"""We analyze welfare maximizing monetary policy in a dynamic two-country model with price stickiness and imperfect competition.  In this context, a typical terms of trade externality affects policy interaction between independent monetary authorities.  Unlike the existing literature, we remain consistent to a public finance approach by an explicit consideration of all the distortions that are relevant to the Ramsey planner.  This strategy entails two main advantages.  First, it allows an accurate characterization of optimal policy in an economy that evolves around a steady-state which is not necessarily efficient.  Second, it allows to describe a full range of alternative dynamic equilibria when price setters in both countries are completely forward-looking and households preferences are not restricted.  In this context, we study optimal policy both in the long-run and along a dynamic path, and we compare optimal commitment policy under Nash competition and under cooperation.  By deriving a second order accurate solution to the policy functions, we also characterize the welfare gains from international policy cooperation""--Federal Reserve Board web site."
A unified framework for pro-poor growth analysis,Finance,"""Starting with a general impact indicator as an evaluation criterion, Essama-Nssah offers an integrative framework for a unified discussion of various concepts and measures of pro-poor growth emerging from the current literature.  He shows that whether economic growth is considered pro-poor depends fundamentally on the choice of evaluative weights.  In addition, the author's framework leads to a new indicator of the rate of pro-poor growth that can be interpreted as the equally distributed equivalent growth rate.  This is a distribution-adjusted rate of growth that depends on the chosen level of inequality aversion.  Illustrations based on data for Indonesia in the 1990s show a strong link between growth and poverty reduction in that country.  A decomposition of the observed poverty outcomes reveals the extent to which changes in inequality have blunted the poverty impacts of both growth and contraction.  Finally, the results also demonstrate that absolute and relative indicators of pro-poor growth can lead to conflicting conclusions from the same set of facts.  This paper'--a product of the Poverty Reduction Group, Poverty Reduction and Economic Management Network--is part of a larger effort in the network to understand the distributional implications of economic growth""--World Bank web site."
Schooling and labor market impacts of a natural policy experiment,Finance,"""Patrinos and Sakellariou use a nationally representative household survey to estimate returns to schooling in Venezuela from instrumental variables based on a supply-side intervention in the education market.  These estimates apply to a subgroup of liquidity-constrained individuals, in the spirit of the Local Average Treatment Effect (LATE) literature.  Returns to schooling estimates which apply to a subgroup of individuals affected by the policy intervention may be more interesting from a policy perspective than the return to the 'average' individual.  The authors use an instrument based on the 1980 education reform (the Organic Law of Education) which provided for nine years of compulsory basic education.  They also obtain alternative estimates using father's education as an instrument, in an attempt to derive high and low estimates of returns to schooling in Venezuela.  The estimates are consistent with recent findings suggesting that the effect of education, at least for certain subgroups affected by a policy intervention, is as large or larger than what is suggested by OLS estimates.  This paper--a product of the Education Sector Unit, Latin America and the Caribbean Region--is part of a larger effort in the region to estimate the labor market outcomes of education""--World Bank web site."
"The less volatile U.S. economy a Bayesian investigation of timing, breadth and potential explanations /",Finance,"""Using Bayesian tests for a structural break at an unknown break date, we search for a volatility reduction within the post-war sample for the growth rates of U.S.  aggregate and disaggregate real GDP.  We find that the growth rate of aggregate real GDP has been less volatile since the early 1980's, and that this volatility reduction is concentrated in the cyclical component of real GDP.  The growth rates of many of the broad production sectors of real GDP display similar reductions in volatility, suggesting the aggregate volatility reduction does not have a narrow source.  We also find a large volatility reduction in aggregate final sales mirroring that in aggregate real GDP.  We contrast this evidence to an existing literature documenting an aggregate volatility reduction that is shared by only one narrow sub-component, the production of durable goods, and is not present in final sales.  In addition to the volatility reduction in real GDP, we document structural breaks in the volatility and persistence of inflation and interest rates occurring over a similar time frame as the volatility reduction in real GDP""--Federal Reserve Board web site."
"Elections, special interests, and the fiscal costs of financial crisis",Finance,"""Keefer proposes a new approach to explain why the costs of crisis are greater in some countries than in others.  He begins with the premise that many crises result from the willingness of politicians to cater to special interests at the expense of broad social interests.  A parsimonious model predicts that the less costly it is for average citizens to expel politicians, the more veto players there are; the less important are exogenous shocks, and the more difficult it is for politicians and special interests to forge credible agreements, the lower the costs of crisis are.  Though these predictions differ from those in the literature, empirical evidence presented shows that they explain the fiscal costs of financial crisis, even after controlling for the financial sector policies believed to contribute most to the efficient prevention and resolution of financial crisis.  This paper--a product of the Growth and Investment Team, Development Research Group--is part of a larger effort in the group to understand the political economy of good policy""--World Bank web site."
Trade and child labor a general equilibrium analysis /,"Industries, Land use, Labor","""This paper augments the existing literature on trade and child labor by exploring the effects of terms of trade changes in the context of a three good general equilibrium model, where one of the goods is a non-traded good. We find that under quasi-linear preferences the effect of the terms of trade on child labor depends critically on the pattern of substitutability (or complementarity) in the excess demand functions between the export good and the non-traded good. We extend the analysis to the case of homothetic preferences and find that the basic result is somewhat modified in a context where the marginal utility of income is affected by the terms of trade. We also extend the analysis to the case where factors move freely between the three goods as in a Heckscher-Ohlin type framework. Finally, we show that a balanced budget policy of taxing the education of skilled families and subsidizing the education of unskilled families must reduce child labor without any impact on aggregate welfare""--Forschungsinstitut zur Zukunft der Arbeit web site."
The Chinese approach to capital inflows patterns and possible explanations /,Economic theory,"""In this paper, we adopt a cross-country perspective to examine the evolution of capital flows into China, both in terms of volumes and composition.  China's inflows have generally been dominated by foreign direct investment (FDI), a pattern that appears to be favorable in light of the recent literature on the experiences of developing countries with financial globalization.  We provide a detailed documentation of the evolution of China's capital controls, a proximate determinant of the pattern of capital inflows.  We also discuss a number of other intriguing hypotheses that attempt to capture the ""deeper"" causes underlying China's approach to capital flows.  In particular, we argue that some popular mercantilist-type arguments are inconsistent with the facts.  We also analyze the recent rapid rise of China's international reserves and discuss its implications.  Contrary to some popular perceptions, the dramatic surge in foreign exchange reserves since 2001 is mainly attributable to non-FDI capital inflows, rather than current account surpluses or FDI""--National Bureau of Economic Research web site."
The world distribution of income and income inequality,"Industries, Land use, Labor","""This review covers a range of measures and methods frequently employed in empirical analysis of global income inequality and global income distribution. Different determinant factors along with quantification of their impacts and empirical results from different case studies are presented. These results are further contrasted to those obtained based on the World Income Inequality Database. A number of issues crucial to the studies of global income inequality are addressed. These are the concepts, measurement and decomposition of inequality, the world distribution of income and inequality measured at different levels of aggregation: global, international and intra-national. We analyse income at each of the three levels, discuss the benefit and limitations of each approach and present empirical results found in the literature and compare it with those based on the World Income Inequality Database. Research on the world income inequality supports increased awareness of the problem, its measurement and quantification, identification of causal factors and of policy measures to affect global income inequality""--Forschungsinstitut zur Zukunft der Arbeit web site."
Estimating risk preferences from deductible choice,Economic theory,"""We use a large data set of deductible choices in auto insurance contracts to estimate the distribution of risk preferences in our sample.  To do so, we develop a structural econometric model, which accounts for adverse selection by allowing for unobserved heterogeneity in both risk (probability of an accident) and risk aversion.  Ex-post claim information separately identifies the marginal distribution of risk, while the joint distribution of risk and risk aversion is identified by the deductible choice.  We find that individuals in our sample have on average an estimated absolute risk aversion which is higher than other estimates found in the literature.  Using annual income as a measure of wealth, we find an average two-digit coefficient of relative risk aversion.  We also find that women tend to be more risk averse than men, that proxies for income and wealth are positively related to absolute risk aversion, that unobserved heterogeneity in risk preferences is higher relative to that of risk, and that unobserved risk is positively correlated with unobserved risk aversion.  Finally, we use our results for counterfactual exercises that assess the profitability of insurance contracts under various assumptions""--National Bureau of Economic Research web site."
Trade responses to geographic frictions a decomposition using micro-data /,Economic theory,"""A large literature has shown that geographic frictions reduce trade, but has not clarified precisely why.  We provide insights into why such frictions matter by examining which parts of trade these frictions reduce most.  Using data that tracks manufacturers' shipments within the United States on an exceptionally fine grid, we find that the pattern of shipments is extremely localized.  Shipments within 5-digit zip codes, which have a median radius of just 4 miles, are 3 times larger than shipments outside the zip code.  We decompose aggregate shipments into extensive and intensive margins, and show that distance and other frictions reduce aggregate trade values primarily by reducing the number of commodities shipped and the number of establishments shipping.  We consider two broad reasons for these facts and conclude that trade in intermediate goods is the most likely explanation for highly localized shipments and the dominant role of the extensive margin.  In addition, we find no evidence of state-level home bias when distances are measured precisely and trade is observed over a very fine grid""--National Bureau of Economic Research web site."
The impact on nutrition of the intrahousehold distribution of power,"Industries, Land use, Labor","""The distribution of income within the household is found to matter for the allocation of resources towards nutrition. Rural Mexican households do not pool income, nor do they attain a Pareto-efficient allocation of resources. In contrast to what is commonly done in the literature, I do not assume that only the head of household and his wife share the decision-making. In particular, I present a new test of the unitary model in the context of extended families, which acknowledges that any household member may participate to the decision-making as long as he or she earns some income. I find that a change in the number of income earners is associated with a change in food calorie consumption controlling for the change in household size and household income. Both the number and identities of income earners matter in the extended family. In particular, when a female household member starts earning income, food consumption increases substantively. When it is a male household member who starts earning income, it decreases substantively""--Forschungsinstitut zur Zukunft der Arbeit web site."
Institution building and growth in transition economies,Finance,"""Drawing on the recent literature on economic institutions and the origins of economic development, the authors offer a political economy explanation of why institution building has varied so much across transition economies.  They identify dependence on natural resources and the historical experience of these countries during socialism as major determinants of institution building during transition by influencing the political structure and process during the initial years.  Their empirical analysis shows that countries that are more reliant on natural resources and spent a longer time under socialist governments are more likely to see former communists remain in power and to start the transition process with less open political systems, with negative repercussions for the development of market-compatible institutions.  Using natural resource reliance and the years under socialism to extract the exogenous component of institution building, the authors also show the importance of institutions in explaining the variation in economic development and growth across transition economies during the first decade of transition. ""--World Bank web site."
"Migration, trade, and foreign investment in Mexico",Finance,"""Part of the rationale for the North American Free Trade Agreement (NAFTA) was that it would increase trade and foreign direct investment (FDI) flows, creating jobs and reducing migration to the United States.  Since poor data on illegal flows to the United States make direct measurement difficult, Aroca and Maloney instead evaluate the mechanism behind these predictions using data on migration within Mexico where the census data permit careful analysis.  They offer the first specifications for migration within Mexico, incorporating measures of cost of living, amenities, and networks.  Contrary to much of the literature, labor market variables enter very significantly and as predicted once the authors control for possible credit constraint effects.  Greater exposure to FDI and trade deters out-migration with the effects working partly through the labor market.  Finally, the authors generate some tentative inferences about the impact on increased FDI on Mexico-U.S.  migration.  On average, a doubling of FDI inflows leads to a 1.5-2 percent fall in migration. ""--World Bank web site."
How well do institutional theories explain firms' perceptions of property rights?,Finance,"""The authors examine how well several institutional and firm-level factors and their interactions explain firms' perceptions of property rights protection.  Their sample includes private and public firms that vary in size from very small to large in 62 countries.  Together, the institutional theories they investigate account for approximately 70 percent of the country-level variation, indicating that the literature is addressing first-order factors.  Firm-level characteristics such as legal organization and ownership structure are comparable to institutional factors in explaining variation in property rights protection.  A country's legal origin and formalism index predict property rights variation better than its openness to international trade, its religion, its ethnic diversity, natural endowments or its political system.  However, these results are driven by the inclusion of former socialist economies in the sample.  When the authors exclude the former socialist economies, legal origin explains considerably less than openness to trade and endowments.  Examining a broader set of variables for robustness, they again find that when they exclude former socialist countries, legal origin explains comparatively little of the variation in perceptions of judicial efficiency, corruption, taxes and regulation, street crime, and financing. ""--World Bank web site."
Determinants of city growth in Brazil,Finance,"""The authors examine the determinants of Brazilian city growth between 1970 and 2000.  They consider a model of a city that combines aspects of standard urban economics and the new economic geography literatures.  For the empirical analysis, the authors construct a dataset of 123 Brazilian agglomerations and estimate aspects of the demand and supply side, as well as a reduced form specification that describes city sizes and their growth.  Their main findings are that increases in rural population supply, improvements in interregional transport connectivity, and education attainment of the labor force have strong impacts on city growth.  They also find that local crime and violence, measured by homicide rates, impinge on growth.  In contrast, a higher share of private sector industrial capital in the local economy stimulates growth.  Using the residuals from the growth estimation, the authors also find that cities that better administer local land use and zoning laws have higher growth.  Finally, their policy simulations show that diverting transport investments from large cities toward secondary cities does not provide significant gains in terms of national urban performance.   ""--World Bank web site."
